BIOCHEMICAL,1-ctrl,2-ctrl,3-ctrl,4-ctrl,5-ctrl,6-ctrl,7-ctrl,8-ctrl,9-Lm,10-Lm,11-Lm,12-Lm,13-Lm,14-Lm,15-Lm,16-Cr,17-Cr,18-Cr,19-Cr,21-Cr,22-Cr,23-GF,24-GF,25-GF,26-GF,27-GF,28-GF,29-GF,30-GF,31-GF
1-(1-enyl-stearoyl)-2-arachidonoyl-GPE (P-18:0/20:4)*,1343836,1962222.125,2109193,1651190,1294518,1412585,1800594,1676873,2529718,2093651,1756572.125,1885872.875,1832437.125,3162576,2002270,1899787,1509604,1250038,1496755,1500434,1688221.125,1623571,1412344,1072738,1253887,1497163,1734781,1464078,1740566,1740943.125
1-(1-enyl-stearoyl)-2-linoleoyl-GPE (P-18:0/18:2)*,1499657,1172763,1509002,1548125,1953186,1571445,2128952,3286444.75,3098312,2177447,1103287,1766221,1354845,1794310,1581235,2496567,2507900,2335991,1839046,1951503.125,2477787,643759,776241,361761,1189601,1319623,1462764,1001275,1113968,683863
1-(1-enyl-stearoyl)-GPE (P-18:0)*,461323,407539,652698,511568,671681,743567.9375,581572,776179,1274696,1451260,572293,935608,697274,1218011,796012.0625,654028,706944,484095.0313,722962,732693,725038,518280.9688,830115,608377,640053,918214.9375,632839,783813.0625,1075854,1034710
1-arachidonoyl-GPC* (20:4)*,534827296,442935776,589349312,780535744,276552000,475271904,208118960,420029024,439719392,450694176,256877184,416744768,513719136,220746512,290836576,489943168,326536320,565533824,742096704,527147104,484211264,785799936,547722944,746111744,649555136,743328960,417559488,1056444736,540740864,605609024
1-arachidonoyl-GPE (20:4n6)*,37629928,32447134,43048536,49440904,21254142,52733124,13845030,56849232,77326744,49293312,20786042,37786264,42271052,33978816,24334078,36387192,27407372,46477480,47432808,53845028,55904320,51303844,53674432,76269376,59671672,84024264,45785600,72324832,71187096,85370536
1-arachidonoyl-GPI* (20:4)*,30724714,30483852,32998382,34114016,19565468,26055114,23398966,20534480,15007499,14852167,24848440,11773703,24382240,15543057,19961094,33479126,48662844,40302216,41529524,50615672,38865240,19603304,17056700,21887762,17692312,19086844,19989654,23816022,18399628,22410556
1-arachidonylglycerol (20:4),,292073,269896,218587,394559,,1275891,298290,266689,212546,392508,465559,,1305536,1040712,444028,515608,,392472,289581,411186,167503,400836,,366019,,277394,517025,747439,405099.0313
1-carboxyethylisoleucine,136260,119283,137031,132639,126943,111638,66593,108809,136010,176540,106842,100844,49285,303436,62108,97148,75720,123867,103952,129927,155397,167777,242950,251521,231067,267438,173703,215191,251625,225517
1-carboxyethylleucine,190768,149966,132579,187350,141832,159790,146666,149408,205806,407867,164760,147494,93685,1129345,85183,126800,143626,161218,139655,165220,135817,141741,169057,176335,212062,136700,157064,251433,175434,258935
1-carboxyethylphenylalanine,335852,384768.9688,321989,343409,316925,261998,289662,171760.0156,337822,467828.9688,278852,276316,223219,677144,259640,263416,283141,305823,257086,304528,270817,315511,315831,324890.0313,323344,255273.9844,349812,350824.0313,286748,293480
1-carboxyethyltyrosine,53899,65161,26561,72526,,34502,38883,47768,68133,82238,42843,45929,25476,154298,31699,42502,41309,59312,70269,76978,,71184,84650,81592,78136,86657,65648,76565,84079,91138
1-carboxyethylvaline,232303,230910.9844,247545,217468,163252,186737,173999,125284.0078,275141,333009,167154,155795,86993,600587,103191,172703,166496,225171,199380,210161,196358,290169,363989,336551,327621,367776,258382.9844,449343,280568,424834
1-dihomo-linolenylglycerol (20:3),140608,235474,177317,212269,629951,175673,1136833,184660,,276136,637323,385859,364922,439100,548457,151975,93954,,242697,101040,,,87732,,,,62733,126533,,
1-docosahexaenoylglycerol (22:6),196189,232607,223733,,1117361,170296,3167807,486465,294089,1056756,517628.9688,1650461,357786,4962031,2008461,474831,363272,189581,307936,196643,368242.9688,182134,358569,170493,163058,107875,411418.0313,193340,355985,
1-lignoceroyl-GPC (24:0),1566036,1677342,1860214,1896512,1995580,2317504,1853489,2473666,3825678.25,5177254,2262290,3111964,2625648,4550685,2791786,1823652,2044662,2430394,1750738,2027856,1693782,2093584,2356238,3330675,2788523,2545853,2062382,2480574,2001655,2625660
1-linolenoyl-GPC (18:3)*,79373792,52060432,84203336,152592496,37406376,81799520,24554584,71606728,84382856,119785064,48495876,68346816,97861816,47116564,26622554,78372352,55601984,133437216,160948096,210246240,79621640,115940888,73106800,123548248,82408824,97833696,39163544,99779952,,97541016
1-linoleoyl-2-arachidonoyl-GPC (18:2/20:4n6)*,1268471808,1358453248,1356855424,1110049792,1317842048,1215406464,1320323328,1307562752,1003402176,1029039872,939705152,952014656,1011881728,814873152,1047634112,997407744,1009592000,1019547584,1128518144,1058945920,1183387648,1162221056,1333461248,1042936768,1132627584,1392834304,1083196928,1368478848,1294324480,1312426240
1-linoleoyl-2-linolenoyl-GPC (18:2/18:3)*,1022304640,1048246464,1135316352,995676288,965294016,985764480,1068214400,1192533760,1376566784,1349816960,903768704,1181944576,1216768640,1327805056,1194289920,951900864,963104704,1068119616,1047996928,1003574720,1102868608,830589504,858710464,832410048,911222528,900772800,901817152,915159616,942616256,900310208
1-linoleoyl-GPC (18:2),1658447488,1306352128,1753919360,2533580032,1059304128,1291432576,608507584,1538680576,1747214208,2242115584,904680448,1273436416,1497804800,1385944448,858763840,1370776064,1485468288,1558878336,1838366848,2085506944,1709580032,1565699200,1528410240,2252665856,1810169472,2187154944,1074072960,1982930432,1977738752,1934693632
1-linoleoyl-GPE (18:2)*,60618784,43610948,65241784,102636712,27579468,84715440,17089854,72695664,90416800,81276208,28230676,63377552,58459176,44176760,27793736,57718648,44478712,71081680,88395976,89316496,86626432,68559840,64823360,97339152,84012928,103952968,49806092,101445024,102912448,108120848
